email,first_name,last_name,biography,street,city,postcode,longitude,latitude
jamie@rempel.info,Lauren,Bradley,"A writer, digital marketing pioneer, and Financial Times journal best-selling author who inspires and empowers people to create best results for their business.",26 Hammersmith Grove,london,W6 7BA,-0.1276474,51.5073219
isaac@reilly.name,Theresa,Grimes,Communicator. Alcohol buff. Certified music fanatic. Internet scholar. Wannabe bacon specialist.,City Hall,london,E16 1ZE,-0.0919983,51.5156177
floyd@waelchi-olson.org,Kelly ,Fritz,Social media scholar. Award-winning twitteraholic. Bacon ninja. Thinker. Zombie maven.,9 Belford Grove,london,SE18 5DL,0.0607864,51.4885792
marchelle_sanford@schiller.com,Angela,Robertson,Travel guru. Entrepreneur. Music geek. Social media practitioner. Twitter expert. Wannabe explorer. Bacon fanatic. Zombie aficionado.,40 Grove Park,london,NW9 0JP,-0.26165,51.5917
yvette.muller@auer.com,John,Miles,Creator. Subtly charming coffee scholar. Twitter nerd. Student. Gamer. Musicaholic. Travel fanatic. Devoted problem solver. Food junkie.,Drew House,london,SE8 3FZ,-0.1276474,51.5073219
deborah@hahn.io,Melissa,Castro,Tv guru. Alcohol evangelist. Problem solver. Amateur student. Introvert. Zombie scholar.,17A Annandale Rd,london,SE10 0DD,-0.0919983,51.5156177
berniece_mills@torp.biz,Linda,Burns,Lifelong travel evangelist. Incurable alcohol fanatic. Music guru. Pop culture aficionado.,98 Vallance Rd,london,E1 5BH,-0.1276474,51.5073219
lia.murazik@schroeder.biz,Kathy,Farley,Infuriatingly humble alcohol evangelist. Extreme reader. Social media nerd. Web trailblazer.,239 Dartmouth Rd,london,SE26 4QY,-0.1276474,51.5073219
kendal@kozey.info,Kyle,Griffin,Devoted zombie enthusiast. General communicator. Tv expert. Gamer. Travel evangelist. Food scholar.,121 Drummond Rd,london,SE16 2JY,-0.1276474,51.5073219
chantel_tromp@schneider.name,Marcus,Peterson,General tv fan. Hardcore social media guru. Writer. Organizer. Pop culture geek.,4C Rutland Park,london,SE6 4LH,-0.1276474,51.5073219
dave.skiles@powlowski.biz,Melissa,Quinn,Food fan. Tv guru. Subtly charming music scholar. Social media advocate. Bacon lover. Certified troublemaker. Webaholic. Coffee practitioner. Internet nerd.,03 Honour Lea Ave,london,E20 1DW,-0.0919983,51.5156177
archie.reinger@parisian.org,Max,Sharp,Wannabe student. Beer lover. Tv fanatic. Social media expert. Infuriatingly humble pop culture buff.,2 Cumberland Mews,london,SE11 4AW,-0.1276474,51.5073219
jude_mayert@dach.net,Karl,Pena,Communicator. Bacon fan. Twitter evangelist. Analyst. Entrepreneur. Lifelong troublemaker. Gamer. Reader. Zombie lover.,ARC Dance Academy London,london,SE15 3QQ,-0.1276474,51.5073219
kermit_heaney@block.info,Justin,Lara,Bacon fan. Web expert. Travel buff. Amateur pop culture advocate. Alcohol enthusiast.,56 Court Rd,london,SE9 5NP,0.05213,51.44586
cathryn.brown@kreiger.com,Wendy,Davis,Unable to type with boxing gloves on. Beer enthusiast. General pop culture advocate. Reader.,43 Rutley Cl,london,SE17 3NP,-0.1276474,51.5073219
elena_kreiger@daniel-tillman.io,Michael,Medina,Alcoholaholic. Web advocate. Entrepreneur. Zombie enthusiast. Student. Explorer. Certified communicator. Total music specialist. Beer ninja.,Raffles House,london,NW4 4BX,-0.162236683,51.5074889
leland@cassin.biz,Logan,Morris,Food fan. Tv guru. Subtly charming music scholar. Social media advocate. Bacon lover. Certified troublemaker. Webaholic. Coffee practitioner. Internet nerd.,14 Ridgemount Cl,london,SE20 8NJ,-0.1276474,51.5073219
georgina@kling.org,Shannon,Hernandez,Wannabe student. Beer lover. Tv fanatic. Social media expert. Infuriatingly humble pop culture buff.,28 Coalecroft Rd,london,SW15 6LP,-0.1276474,51.5073219
matt_kunde@bernier.biz,Melissa,Cox,Communicator. Bacon fan. Twitter evangelist. Analyst. Entrepreneur. Lifelong troublemaker. Gamer. Reader. Zombie lover.,Northwood Hall,london,N6 5PQ,-0.1276474,51.5073219
lon.kulas@wunsch.io,Sean,Parsons,Bacon fan. Web expert. Travel buff. Amateur pop culture advocate. Alcohol enthusiast.,Rock On,london,E3 5BE,-0.1276474,51.5073219
mario@williamson.info,Preston ,Young,Unable to type with boxing gloves on. Beer enthusiast. General pop culture advocate. Reader.,35 Orb St,london,SE17 1EP,-0.1276474,51.5073219
seymour_okuneva@conn.name,Gary,Chapman,Food fan. Tv guru. Subtly charming music scholar. Social media advocate. Bacon lover. Certified troublemaker. Webaholic. Coffee practitioner. Internet nerd.,UpSpoken,london,NW6 3PS,-0.1276474,51.5073219
debbie_howell@ritchie.info,Lucy,Lawless,Tv guru. Alcohol evangelist. Problem solver. Amateur student. Introvert. Zombie scholar.,74 Hevelius Cl,london,SE10 0HR,-0.0919983,51.5156177
